 Date,JD,RA,DEC,Dist_AU
 2023-Feb-20 08:00,2459995.833333333,00 37 14.50,+02 47 07.4,5.68575600316879
 2023-Feb-20 16:00,2459996.166666667,00 37 30.40,+02 48 51.2,5.68907901157834
 2023-Feb-21 00:00,2459996.500000000,00 37 46.12,+02 50 35.2,5.69236374026242
 2023-Feb-21 08:00,2459996.833333333,00 38 01.94,+02 52 19.1,5.69571590146310
 2023-Feb-21 16:00,2459997.166666667,00 38 17.93,+02 54 03.4,5.69898121116310
 2023-Feb-22 00:00,2459997.500000000,00 38 33.73,+02 55 47.8,5.70220899905825
 2023-Feb-22 08:00,2459997.833333333,00 38 49.63,+02 57 32.2,5.70550364675759
 2023-Feb-22 16:00,2459998.166666667,00 39 05.71,+02 59 16.8,5.70871078899662
 2023-Feb-23 00:00,2459998.500000000,00 39 21.59,+03 01 01.6,5.71188178164317
 2023-Feb-23 08:00,2459998.833333333,00 39 37.58,+03 02 46.4,5.71511900861797
 2023-Feb-23 16:00,2459999.166666667,00 39 53.73,+03 04 31.5,5.71826743525190
 2023-Feb-24 00:00,2459999.500000000,00 40 09.70,+03 06 16.7,5.72138056751979
 2023-Feb-24 08:00,2459999.833333333,00 40 25.77,+03 08 01.8,5.72455946716736
 2023-Feb-24 16:00,2460000.166666667,00 40 42.00,+03 09 47.2,5.72764885121044
 2023-Feb-25 00:00,2460000.500000000,00 40 58.05,+03 11 32.8,5.73070399488893
 2023-Feb-25 08:00,2460000.833333333,00 41 14.20,+03 13 18.3,5.73382400226360
 2023-Feb-25 16:00,2460001.166666667,00 41 30.51,+03 15 04.1,5.73685333052457
 2023-Feb-26 00:00,2460001.500000000,00 41 46.63,+03 16 50.1,5.73984964206579
 2023-Feb-26 08:00,2460001.833333333,00 42 02.86,+03 18 35.9,5.74291061013790
 2023-Feb-26 16:00,2460002.166666667,00 42 19.25,+03 20 22.0,5.74588023510032
 2023-Feb-27 00:00,2460002.500000000,00 42 35.44,+03 22 08.3,5.74881780229841
 2023-Feb-27 08:00,2460002.833333333,00 42 51.75,+03 23 54.5,5.75181915203328
 2023-Feb-27 16:00,2460003.166666667,00 43 08.21,+03 25 41.0,5.75472826891756
 2023-Feb-28 00:00,2460003.500000000,00 43 24.48,+03 27 27.6,5.75760671534827
